ID1,ID2,EdgeType,Score,Annotation
102,656,MS1 annotation,3.000,[M+NH4]+ [M+NH4]+ dm/z=0.0010
108,185,MS1 annotation,5.000,[M+NH4]+ [M+NH4]+ dm/z=0.0003
108,879,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9545
108,820,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9571
109,439,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9271
113,824,MS1 annotation,4.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
114,138,MS1 annotation,4.000,[M+Na]+ [M+Na]+ dm/z=0.0002
114,241,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
114,6730,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
117,237,MS1 annotation,6.000,[M+Na]+ [M+Na]+ dm/z=0.0005
117,226,MS1 annotation,6.000,[M+Na]+ [M+Na]+ dm/z=0.0012
120,829,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
120,263,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
121,454,MS1 annotation,4.000,[M+Na]+ [M+Na]+ dm/z=0.0002
121,511,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9821
121,578,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9824
124,499,MS1 annotation,5.500,[M-H2O+H]+ [M+H]+ dm/z=18.0102
124,240,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9805
125,1125,MS1 annotation,6.000,[M+NH4]+ [M+NH4]+ dm/z=0.0001
125,131,MS1 annotation,6.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
125,274,MS1 annotation,6.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
128,334,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9783
130,163,MS1 annotation,3.000,[M+H]+ [M+H]+ dm/z=0.0001
130,354,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9780
131,1125,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
131,274,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
137,322,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
137,337,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
137,157,MS1 annotation,4.000,[M+Na]+ [M+Na]+ dm/z=0.0006
138,241,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
138,6730,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
146,308,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
146,194,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0001
146,410,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9562
146,10541,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9565
146,214,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0002
146,269,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0002
146,391,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9566
146,678,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9567
146,788,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0000
148,12442,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9832
148,12441,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9833
148,339,MS1 annotation,5.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9939
148,249,MS1 annotation,5.000,[M+Na]+ [M+Na]+ dm/z=0.0001
157,322,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
157,337,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
163,354,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9781
174,3885,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9766
179,572,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9797
185,879,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9542
185,820,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9569
194,308,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
194,410,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9563
194,10541,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9566
194,214,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0002
194,269,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0003
194,391,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9567
194,678,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9567
194,788,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0001
214,308,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
214,410,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
214,10541,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9563
214,269,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0000
214,391,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9564
214,678,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9565
214,788,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0002
215,443,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9568
221,227,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
226,237,MS1 annotation,6.000,[M+Na]+ [M+Na]+ dm/z=0.0017
240,499,MS1 annotation,5.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9908
241,6730,MS1 annotation,4.000,[M+NH4]+ [M+NH4]+ dm/z=0.0004
249,12442,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9833
249,12441,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9834
249,339,MS1 annotation,5.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9940
253,782,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9751
258,428,MS1 annotation,8.000,[M+H]+ [M+Na]+ dm/z=21.9795
258,877,MS1 annotation,8.000,[M+Na]+ [M+Na]+ dm/z=0.0002
258,8488,MS1 annotation,8.000,[M+Na]+ [M+Na]+ dm/z=0.0006
258,2361,MS1 annotation,8.000,[M+Na]+ [M+Na]+ dm/z=0.0004
258,460,MS1 annotation,8.000,[M+H]+ [M+Na]+ dm/z=21.9774
258,611,MS1 annotation,8.000,[M+H]+ [M+Na]+ dm/z=21.9793
263,829,MS1 annotation,3.000,[M+NH4]+ [M+NH4]+ dm/z=0.0009
269,308,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
269,410,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
269,10541,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9563
269,391,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9564
269,678,MS1 annotation,10.000,[M+NH4]+ [M+Na]+ dm/z=4.9564
269,788,MS1 annotation,10.000,[M+Na]+ [M+Na]+ dm/z=0.0002
274,1125,MS1 annotation,6.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
308,410,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0002
308,10541,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0004
308,391,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0005
308,678,MS1 annotation,10.000,[M+NH4]+ [M+NH4]+ dm/z=0.0006
308,788,MS1 annotation,10.000,[M+Na]+ [M+NH4]+ dm/z=4.9561
322,337,MS1 annotation,4.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
