"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"sample"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"isotopes"	"adduct"	"pcgroup"
"134"	120.526085067073	120.525406853171	120.527001648627	629.463745117188	610.390747070312	668.80517578125	19	19	18127.6218999999	20481.3648	18314.8350000001	17484.7260000002	18575.2959999999	16936.6362000001	13962.5734444443	14092.4761249998	12773.0502	17792.9115000002	NA	16287.1377777778	15596.0817142859	19090.7674999998	15740.8053333332	NA	16041.0952500001	NA	13742.325909091	14709.5534	14136.7589999998	15428.3072727273	""	""	"115"
"140"	121.524350807909	121.52341017926	121.525564198624	629.626953125	611.242126464844	668.80517578125	19	19	9821.19600000002	8117.57499999997	10538.8071250001	9263.07714285708	10799.4786666666	9751.10311111111	6365.00577777778	7856.82799999988	6070.78237499994	10780.4425714287	NA	8513.30400000004	9258.3065000001	11139.284	8224.04983333329	NA	8221.8115	NA	6915.40444444447	7972.93662500011	7650.54999999993	8066.02400000008	""	""	"115"
"152"	124.964694241443	124.964275626707	124.965530747343	628.93115234375	611.242126464844	644.215698242188	17	17	7254.98799999993	8138.26371428571	7687.54800000007	9064.27300000013	10289.3885	10433.5927142857	7990.6828	6731.6924999999	6106.1806666666	NA	NA	NA	8274.59771428581	10157.4915	10543.5424285713	NA	8543.09957142849	NA	6463.56374999996	7970.36000000011	7471.93299999996	6667.68685714284	""	""	"115"
"161"	127.975266538745	127.973160060971	128.020101071963	629.818176269531	611.242126464844	669.955871582031	39	19	8146.94399999992	8014.04499999995	11754.0771428573	12489.9607499998	8627.86036363634	8741.58160000007	7822.49399999988	9031.79887500001	9351.45337499991	8540.94590909091	NA	8707.23971428568	9130.35466666674	9579.23999999999	19339.4547500001	NA	9568.47983333333	NA	8978.60249999995	10096.0756250001	7842.85669999997	6852.25745454545	""	""	"115"
"184"	133.974662444235	133.974007918302	133.975693381148	628.799499511719	611.242126464844	668.80517578125	19	19	332279.160444444	363475.031399999	351399.053555557	349550.069400003	354047.9659	322550.326222222	306345.5014	334168.379999998	305388.272000002	330842.243333335	NA	321322.0125	326637.034444443	343501.184000001	339946.708111112	NA	339949.869600001	NA	317383.800727275	318000.991000001	301746.417818181	304898.413636365	"[9][M]+"	""	"115"
"185"	134.978706680353	134.977687888065	134.980152978177	629.626953125	611.242126464844	668.80517578125	19	19	16174.0765714288	18137.270625	18377.8766666667	19382.9664000002	18268.7605714285	15482.7875000001	17132.7149999998	19848.3989999999	16625.2320000001	15895.0837500002	NA	15708.6302857144	16761.7122500002	19325.124	18215.6782500001	NA	17514.4089999999	NA	15688.3392	15317.1767500002	15379.8035999998	14550.5668750001	"[9][M+1]+"	""	"115"
"195"	137.967843059753	137.967257125901	137.968658382286	628.799499511719	611.242126464844	668.80517578125	19	19	19535.8288888888	21154.9266666667	19689.5558571431	22491.7560000002	21271.6083	18230.7074444446	16710.3398888889	18986.8988571427	17612.2095000001	18300.8352857145	NA	19099.4197777778	19516.1222222221	20666.3644444444	18660.0882857143	NA	18715.1634000001	NA	17673.925	17872.735	16856.7774	18192.4490000001	""	"[M+K]+ 99.0055"	"115"
"199"	138.980122023261	138.979523579066	138.981137837554	628.799499511719	611.242126464844	668.80517578125	19	19	90525.6031111109	93679.5341999998	95845.9924444448	98561.3916000009	99961.2159999995	92685.5511111111	84210.1842	87276.3649999994	78494.3440000004	85939.4483333337	NA	83842.7819999999	87366.3405555552	95592.2240000002	94990.7575555557	NA	92291.8356000003	NA	79877.9665454552	87516.8400000002	79866.941699999	81504.8572727276	""	""	"115"
"376"	185.627363949611	185.626447764249	185.628235678314	629.583435058594	605.322570800781	667.632202148438	21	20	NA	6111.36066666653	14043.39325	13893.730142857	12850.9005	12800.871	11374.9674999999	12156.8789999998	10057.9562222222	15552.9141428573	6621.79285714295	13322.5319999999	NA	15788.24	13966.2591428572	8472.82574999989	11976.9	8157.42562499993	9584.72199999999	12258.9753333334	9783.79999999992	8816.26114285718	""	""	"115"
"377"	185.987993718922	185.986986166838	185.988780887553	629.700134277344	605.322570800781	668.80517578125	22	22	57061.7865000001	66628.6144444446	66271.9995555558	65986.0155555554	68781.3337499995	57755.1400000003	53181.5642222218	55437.4999999996	55136.3310000004	52763.8702500005	20863.9200000002	59725.4088888891	56316.422222222	66601.1674999994	63663.7399999998	21550.8216	58494.15	23375.659	55498.9936000004	56815.0138181813	51619.9466999994	52396.3370000002	""	""	"115"
"395"	189.980376847524	189.979769260668	189.982203807646	628.753753662109	610.390747070312	669.955871582031	20	19	17074.9681428572	19237.7552499999	18611.4103636363	19303.1050000001	20694.1334166666	15075.1712222224	7858.22749999991	33328.3975555554	9621.35623076926	7911.98000000005	NA	17221.3535	15741.96675	17318.3744545455	15931.7536923078	NA	15147.0654	NA	9814.93399999999	9762.07509999998	10135.7784	7579.34399999998	""	""	"115"
"404"	192.101576347922	192.064827360376	192.138012772086	51.7423095703125	35.6890449523926	177.372528076172	43	18	47112.5946666667	152391.005555556	116320.293	23870.7632727273	17870.6902	20799.7968461539	124964.4165	139189.419157895	NA	221099.128	27568.2878181818	15151.3633333333	10483.617375	16657.3322222222	31188.5340769231	26899.3303333333	29777.9913636364	23417.68	NA	NA	NA	14175.9447647059	""	""	"120"
"509"	226.012114623763	225.987720489502	226.012896317726	629.626953125	605.322570800781	680.903015136719	19	19	14794.3562857144	NA	17685.8791111112	NA	18749.6163749999	14593.8787500001	13921.0499999999	14043.7254999998	11866.2146666667	15332.5672500002	12283.9200000001	13996.6933333333	14624.2270000002	16017.0849999999	NA	14237.7253333333	14200.7034999999	13668.0775000001	13640.9200000001	13441.4524444446	13814.5345999999	11587.7314285715	""	""	"115"
"533"	231.112949395006	231.083656906295	231.171479476855	50.6199169158936	32.2716598510742	130.068817138672	56	18	55311.9605454545	NA	NA	NA	111014.431708333	5388.99942857143	98135.5726363636	28749.6601818182	114295.6815	244595.231272727	126702.857777778	NA	80989.0250714286	45941.6334117647	17219.11725	35139.8693333333	39666.3372	229331.422222222	6341.16742857143	12808.8679090909	10917.5578571429	11654.4033333333	""	""	"120"
"600"	249.116819105299	249.110389338867	249.157774306232	50.4961090087891	33.5007057189941	74.2086944580078	17	14	13385.0222	7736.16666666667	16345.81675	12530.714625	NA	9736.032	4682.1346	NA	NA	73657.3062	19005.6204	23527.6164375	29653.91	NA	25223.7784615385	17871.3848333333	17661.16	NA	NA	21515.5325	NA	NA	""	""	"120"
"608"	251.021565777856	251.020942440154	251.164567269533	49.8851509094238	34.0011177062988	96.777	16	11	NA	NA	NA	27828.5523214286	NA	6423.707625	13377.14	23479.9163333333	112597.067172414	NA	22306.3405714286	NA	NA	17354.7816666667	9702.90555555556	NA	NA	NA	5979.5887142857	12665.4724285714	NA	60390.2288888889	""	""	"120"
"682"	271.130281330524	271.129623336099	271.130810160083	50.4092826843262	33.0334014892578	78.1517791748047	8	7	10111.552	NA	10794.0652222222	NA	NA	13423.9883157895	NA	NA	NA	84831.9678461538	NA	21267.4437894737	26174.8172631579	NA	NA	NA	16298.6718	NA	NA	NA	NA	NA	""	""	"120"
"692"	273.915524545371	273.914395528773	273.916109864984	629.818176269531	620.800415039062	668.80517578125	7	7	NA	6145.81671428571	5293.5190000001	NA	6022.42499999994	NA	NA	NA	NA	NA	NA	4856.20719999992	4228.57142857143	6190.71299999993	5388.52740000002	NA	NA	NA	NA	NA	NA	NA	""	""	"115"
"745"	286.884836336984	286.88345982835	286.92141999801	629.700134277344	614.73	669.955871582031	16	15	7401.25500000008	5472.79	7584.31499999999	8477.77833333331	10039.9595	6870.94216666666	NA	6941.80999999992	NA	NA	9347.27133333338	5123.38042857141	6547.22099999995	9642.25066666655	8418.28114285706	10192.1928000001	NA	NA	NA	5796.32800000001	5402.11100000005	NA	""	""	"115"
"820"	309.899289966899	309.898521986109	309.900138050153	629.626953125	605.322570800781	668.80517578125	17	17	26102.2178571431	NA	26256.8460000005	NA	36173.8346666665	25191.6562500001	24363.0038888887	27301.1451428569	22294.7226666667	NA	40818.3533333334	25869.6375000001	NA	36439.6637499997	NA	44541.5177777777	25373.8729999998	48700.8112499996	23302.7145000002	24650.8041999999	21887.3912499999	21229.5980000001	""	""	"115"
"834"	313.892241258335	313.89171799739	313.893568250868	628.819580078125	605.322570800781	638.67578125	10	10	5819.5488333333	NA	NA	8168.5108571428	7974.73499999992	5567.59649999998	5861.95187499994	NA	NA	NA	7941.45660000002	NA	4587.07139999996	8795.56299999989	6960.97119999988	NA	NA	10964.8799999999	NA	NA	NA	NA	""	""	"115"
"875"	326.313971461787	326.31278877262	326.379314563918	360.338684082031	327.660827636719	440.47216796875	10	8	5545.88649999999	NA	NA	12745.8592857143	9306.67199999997	NA	NA	NA	19370.0660999999	NA	NA	NA	NA	16215.3549090909	7851.06666666668	NA	NA	NA	7794.17999999998	NA	NA	30470.9530434783	""	""	"119"
"910"	334.911711400687	334.910724510769	334.913249477599	629.773315429688	611.242126464844	644.215698242188	15	14	11998.5319999999	NA	13709.0905714288	NA	NA	13465.0344000001	10632.8859999998	12154.1479999999	9598.40355555555	10908.9247999998	20567.3365000001	NA	NA	NA	15580.5119999999	22385.1899999998	13082.3031666667	NA	NA	11882.5356250002	9380.99999999992	10280.2069999999	""	""	"115"
"1304"	438.239193014431	438.2382717571	438.240659234847	40.4857978820801	33.028	55.0508804321289	24	17	18466.4328888889	35165.511875	43063.4150769231	37107.5714375	45111.78375	23566.6056666667	NA	28777.852	51253.9146	88128.6257142857	15654.9844285714	47506.836	NA	40196.6559230769	43620.696	17016.4857692308	23232.916125	27378.5693333333	NA	8513.546	NA	NA	"[34][M]+"	""	"117"
"1308"	439.240768013506	439.239485494206	439.241945437049	40.9220809936523	33.0334014892578	50.631591796875	5	5	NA	9449.88893333333	NA	NA	NA	4326.2494	NA	NA	NA	18128.98	NA	7317.37142857142	NA	NA	6687.25285714286	NA	NA	NA	NA	NA	NA	NA	"[34][M+1]+"	""	"117"
"1385"	460.283527295953	460.282528075616	460.284616178625	40.984001159668	33.0334014892578	78.9563369750977	15	13	13048.2183333333	NA	27702.1513636364	NA	NA	15510.1653076923	NA	4340.1356	62204.0533333333	155125.269444444	23819.4354666667	24435.5433333333	37699.6558125	NA	34668.1945454545	6310.04727272727	15882.952	8847.36757142857	NA	NA	NA	NA	""	""	"117"
"1458"	481.262165046159	481.261456616345	481.263216529431	40.984001159668	32.8188438415527	84.6936645507812	37	22	110778.705	271631.107421053	9878.347	172931.6214	144105.242	125096.088636364	19239.042	111718.306416667	106055.866	917172.5376	62808.613	231151.419333333	246914.287647059	154573.215	53645.3622857143	53414.8068571429	180267.732052632	88225.7906923077	26816.2172727273	32545.4635	11683.8075	9649.66571428571	"[39][M]+"	"[M+Na]+ 458.273"	"117"
"1463"	482.265561525387	482.264768614458	482.266535889252	42.2761889801025	32.9948883056641	58.560417175293	18	14	24071.0915454545	NA	42401.9314285714	34704.702	NA	39826.521	NA	NA	114852.3061	184393.6922	27784.764	53610.7273076923	57379.1989375	NA	51564.6497142857	11758.9968	42415.8861176471	17047.192	NA	17934.322	NA	NA	"[39][M+1]+"	""	"117"
"1515"	497.236085472175	497.235412870702	497.237443242973	40.553825378418	33.1346206665039	56.804557800293	29	14	43011.432	NA	NA	NA	NA	19776.3256666667	22429.0485	NA	231253.405777778	516079.641	44578.337	26468.7067272727	107027.558555555	NA	26160.6625	24754.4145	51406.1644736842	90088.9406153846	13802.51675	26066.0935454545	NA	NA	""	"[M+K]+ 458.273"	"117"
"1533"	503.306422993054	503.304904365945	503.307335776658	50.2286338806152	33.028	105.660209655762	24	18	55450.6363636364	59033.9613333333	84771.128	63762.7677142857	44416.0186	71325.4721052632	33247.9187878788	NA	249791.781272727	662332.999272727	79418.15	81039.2660000001	147151.287111111	NA	133545.850434783	22445.1828181818	80835.0915	14373.1374545455	13517.22625	65736.053025641	NA	NA	"[42][M]+"	"[M+H]+ 502.299"	"120"
"1536"	504.309537117411	504.22015488479	504.310439180045	50.766263961792	33.0334014892578	96.440803527832	14	11	14584.7903125	NA	23565.7875	NA	NA	13938.1172307692	12359.4471	NA	60586.2592173913	156345.1764	NA	21693.4181333333	28853.2864	6254.55285714285	NA	7607.848	18561.136	NA	NA	NA	NA	NA	"[42][M+1]+"	""	"120"
"1591"	520.333077535833	520.331752804561	520.334039179179	50.1284561157227	33.903	96.440803527832	21	14	53892.159	NA	65364.1204736842	NA	NA	61037.4357894737	NA	NA	122630.358666667	545277.904285714	50342.4169411765	69588.5216153847	111033.953181818	33748.7869090909	90388.2524285714	24507.5228666667	76414.2765	10537.575	NA	58472.52475	NA	NA	"[46][M]+"	"[M+NH4]+ 502.299"	"120"
"1596"	521.335888768325	521.335004068415	521.337017779388	50.4854373931885	34.8009338378906	71.5678634643555	8	6	10893.945	NA	NA	NA	NA	NA	NA	NA	30308.5446521739	130016.287692308	NA	18852.3454615385	28603.1146153846	NA	NA	NA	18478.6740666667	NA	NA	NA	NA	NA	"[46][M+1]+"	""	"120"
"1611"	525.288293147583	525.286290186759	525.289396600745	49.9611587524414	32.9948883056641	96.440803527832	27	18	122119.298	NA	185572.5456	175196.810285714	160615.53952381	155895.0166	26599.227	NA	281218.910869565	1003886.51828571	124351.013947368	201630.6142	232933.907666667	156683.0265	233073.53625	59626.0884375	166516.179	NA	46884.1168636364	139777.928948718	12073.6689166667	NA	"[47][M]+"	"[M+Na]+ 502.299"	"120"
"1615"	526.291653956482	526.290972056053	526.292825614789	50.6901092529297	33.028	96.5833587646484	17	13	27462.0395	NA	40511.708375	NA	18767.317875	39692.6502	NA	NA	56286.295	240790.412692308	39568.906	40498.38	68992.526	NA	41900.235	9007.5566	34306.2875	NA	NA	17204.4838823529	NA	NA	"[47][M+1]+"	""	"120"
"1666"	539.267033011928	539.266728605591	539.269912292033	51.940975189209	48.0254936218262	75.0547790527344	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	57767.2	NA	33337.7611538462	5597.11142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	"120"
"1675"	541.262333338258	541.261146542624	541.263309843156	41.872	33.1346206665039	51.523	21	11	25248.6085263158	NA	NA	NA	NA	NA	10350.2552727273	NA	126298.458	358761.856	81839.7528	NA	25007.4	NA	NA	37405.1417142857	26518.7742857143	26400.5116363636	14701.0436363636	12783.385875	NA	NA	""	""	"117"
"1695"	547.332630276565	547.331453154973	547.334194319191	51.523	33.8525428771973	77.6931457519531	15	10	38698.1142857143	NA	NA	NA	NA	36720	NA	NA	174485.71173913	573921.7125	44335.6660714286	NA	87535.339	NA	NA	20631.3614666667	46115.3537857143	NA	5462.562	42311.4915	NA	NA	""	"[M+H]+ 546.325"	"120"
"1771"	564.359559737975	564.35816415458	564.361230765277	48.88	33.903	67.0964050292969	15	8	35093.4301052632	NA	NA	NA	NA	NA	NA	NA	80046.6146666667	422613.523142857	35810.5044736842	NA	72776.7281428571	NA	NA	41665.6068064516	35376.1716363636	NA	NA	22816.9929	NA	NA	""	"[M+NH4]+ 546.325"	"120"
"1792"	569.314509903478	569.312533558665	569.31680711441	48.8983759307861	32.9948883056641	97.3188629150391	22	13	77280.1507692307	NA	NA	NA	NA	96237.6060952381	20336.1822222222	NA	54771.983	635480.191384615	73514.2577777778	NA	237271.936	NA	148531.199529412	36062.3380666667	122496.634428571	5643.792	30210.0608333333	65026.0464	NA	NA	""	"[M+Na]+ 546.325"	"120"
"1949"	608.385704158867	608.384514232814	608.386846909655	49.9611587524414	35.5786361694336	55.0680618286133	7	4	NA	NA	NA	NA	NA	NA	NA	NA	45410.716	NA	19828.3897777778	NA	NA	NA	NA	12085.244	NA	NA	NA	19024.2163125	NA	NA	""	""	"120"
"2033"	629.314883699704	629.313671856435	629.315714111027	40.8141688232422	33.8525428771973	80.5016937255859	8	4	NA	NA	NA	NA	NA	NA	NA	NA	103944.1055	153189.486117647	39896.3511111111	NA	NA	NA	NA	13844.3771428571	NA	NA	NA	NA	NA	NA	""	""	"117"
"2127"	658.918324667409	658.916012702858	658.92010851929	259.699447631836	245.518218994141	334.747283935547	18	18	9061.592	11906.8252	7481.22742857139	9715.80771428573	9354.48074999998	7975.45800000003	16867.78175	5790.20000000002	NA	NA	7311.71199999996	NA	NA	9772.27885714281	11856.041	23718.4523333333	8789.37275000001	9169.06949999998	16906.77	16886.5629090909	16830.5845384616	15658.1786666666	""	""	"118"
"2238"	694.432663867966	694.405221275264	694.434282841487	259.515077880859	244.646286010742	406.277618408203	24	21	10253.964	22699.8586666667	15586.942	15447.296	16224.5352727272	11240.867875	26890.0708	11759.7466250001	11915.9218235294	13421.5668888889	6556.98000000001	NA	11493.6835	15359.2703333333	19169.668	53366.3532000001	18465.6694444445	16457.903	35779.2450909091	39478.1850909091	31908.9464999999	28726.0292727272	""	""	"118"
"2322"	723.430165155426	723.391653099601	723.43450104903	360.884979248047	291.369598388672	429.122253417969	26	9	NA	NA	NA	NA	NA	NA	32630.0812499998	NA	19260.64835	NA	42374.0366153846	NA	NA	NA	7410.88166666666	23699.3010833334	NA	59514.312923077	13278.2353333334	43377.0128571429	NA	26570.6503999999	""	""	"119"
